,as_of_year,state_code,applicant_income,loan_amount,conventional_loans,FHA_loans,VA_loans,FSA_RHS_loans,purchase,improvement,refinancing,multifamily,loans_originated,loans_approved_not_originated,loans_denied,other_loans,race_black,race_other,race_white,race_msrpd,subprime,subprime_originated,subprime_amount,subprime_amount_originated,total
0,1990,1,60.586320574396700,51.945681315861100,0.6660330211095950,0.26360166178657400,0.07021201575937820,4.59904033358373E-05,0.6945624013122600,0.17948521408532800,0.09487820208183230,0.0027594242001502400,0.6189235179592530,0.035903174870843600,0.16397111802670500,0.1812021891431990,0.10746424246140600,0.015115512563045200,0.7298370406708470,0.14758320430470200,9.19808066716745E-05,4.59904033358373E-05,143.66666666666700,90.0,65231
1,1990,13,83.59895333265820,82.6221694445995,0.6017340336881920,0.31524395382152200,0.08238532625488050,0.00010299336160969300,0.7040813460296060,0.12506203009278800,0.14453713846989300,0.0041010083986404900,0.5697218242933250,0.01273372470810750,0.11491250245779600,0.3026319485407710,0.11781504264861500,0.029446738387498500,0.6045991217475170,0.2481390972163700,0.0020692302650674600,0.000514966808048463,89.47963800904980,99.4,106803
2,1990,27,97.14084497574830,70.43555975958490,0.5359477788736260,0.3315777165458410,0.044900407723358200,0.00041687425648951200,0.6088397677705360,0.2258238350398060,0.12177812121890000,0.004229748553649680,0.6166383666663280,0.015810718752224200,0.08462547406737100,0.28292544051407700,0.011702982176083600,0.026039389533405900,0.7236835416010010,0.23857408668951000,0.0001728503014712610,3.05029943772814E-05,83.23529411764710,45.0,98351
3,1990,37,82.25149914815540,64.78878183353290,0.7072654810215070,0.23251718096068100,0.05999037684632910,0.00014525514974898100,0.6336574338862110,0.11309021252644100,0.13184628373777800,0.004448438961062540,0.6847327759166960,0.02114370273533600,0.11858267287632400,0.17554084847164300,0.09935452242830300,0.028197655945020900,0.7136113153761650,0.15883650625051100,0.0006808835144483480,9.98629154524244E-05,78.0,136.63636363636400,110151
4,1990,45,60.87152118653960,62.32977526562100,0.671941119027813,0.2452168252016350,0.08271546891388480,1.80838366667872E-05,0.6645267459944300,0.1391370393142610,0.0958262504973055,0.002640240153350940,0.6163333212774420,0.01859018409345730,0.13089080979420600,0.23418568483489500,0.09436145972729580,0.02320156244348800,0.7134796918514230,0.16895728597779300,0.00047017975333646800,0.00018083836666787200,140.07692307692300,174.2,55298
5,1990,51,78.6402128107325,101.04093395908800,0.6597089067969510,0.21741919195365400,0.12239425183042100,2.72942525127771E-05,0.6572046591289040,0.17256791151203300,0.14361553315910500,0.004947083267940850,0.5863692502951190,0.007976745296859110,0.09025526949662580,0.31539873491139600,0.06972999160701740,0.0533261458468383,0.5872836077542970,0.2896602547918470,0.008283805637627860,0.0025724832993292400,56.39621087314660,24.122015915119400,1465510
0,1991,1,49.614882535661000,55.736111308500200,0.6873356735784430,0.20851868169350400,0.10411722069837800,2.8424029674687E-05,0.6052186518482730,0.18474198087062800,0.20800704915935900,0.0020181061069027800,0.6295069852052930,0.021858078819834300,0.1492119437772690,0.19942299219760400,0.10150220996830700,0.015562156246891100,0.7261344740843910,0.15680115970041100,0.00451942071827523,0.0012364452908488800,38.40880503144650,49.81609195402300,70363
1,1991,13,59.13755974943010,84.80982457871750,0.6431537999720380,0.27323118929543600,0.08338473431858740,0.00023027641393830200,0.6180865674833260,0.10920036515259900,0.27126561561932000,0.0014474517447550400,0.5907083466975900,0.01870995863248710,0.11309039171662800,0.277491302953295,0.12188201623448700,0.038464385285337100,0.6378821149243790,0.2017714835557970,0.008964331828312490,0.005090753579564610,79.948623853211,89.25040387722130,121593
2,1991,27,68.03681379964060,73.99001656714870,0.6673886031822730,0.28925206226486700,0.04325578987333030,0.00010354467952921700,0.5038138956959930,0.18577641252200300,0.3093311013702410,0.0010785904117626800,0.645514789631726,0.015799192351499700,0.0896438063024195,0.24904221171435500,0.009923031788216620,0.023608186932661400,0.7572740137369280,0.20919476754219400,0.001941462741172820,0.0008456148828219380,52.32888888888890,55.97959183673470,115892
3,1991,37,51.887273125740000,68.88810069538870,0.8004428732372480,0.13829299561011600,0.060782409385804700,0.00048172176683112500,0.6195796589099100,0.10686453517734400,0.27226603473058500,0.0012897711821607600,0.6422594304805560,0.04014607047123270,0.1617963560079250,0.1557981430402860,0.10687230488326000,0.02717843129637540,0.7600792510003500,0.10587001282001500,0.001421856182743480,0.0009556738277456200,108.33879781420800,118.00813008130100,128705
