,year,state_code,county_code,applicant_income,loan_amount,conventional_loans,FHA_loans,VA_loans,FSA_RHS_loans,purchase,improvement,refinancing,multifamily,loans_originated,loans_approved_not_originated,loans_denied,other_loans,race_black,race_other,race_white,race_msrpd,subprime,subprime_originated,subprime_amount,subprime_amount_originated,total,elapsed_time,prime,prime_originated,prime_amount,state,population,sthpi,mh_income
28,1990,1,49,14378.290352996899,88778.0,192,119,27,0,317,5,14,0,159,41,104,34,5,0,318,15,0,0,0.0,0.0,338,0,338,159,88778.0,AL,4050055,146.865,23357
29,1990,1,51,146667.48659322,149126.0,1091,256,113,0,852,316,214,1,999,26,192,243,143,24,1120,173,0,0,0.0,0.0,1460,0,1460,999,149126.0,AL,4050055,146.865,23357
30,1990,1,53,4984.22588249218,4265.0,157,40,5,0,192,6,2,0,77,33,66,26,29,0,158,15,0,0,0.0,0.0,202,0,202,77,4265.0,AL,4050055,146.865,23357
31,1990,1,55,83301.357652211,60945.9126383121,1485,336,95,0,1159,444,309,2,1204,66,403,245,136,11,1531,240,0,0,0.0,0.0,1918,0,1918,1204,60945.9126383121,AL,4050055,146.865,23357
32,1990,1,57,849.0,673.0,29,7,0,0,32,2,1,0,11,8,14,3,1,0,31,4,0,0,0.0,0.0,36,0,36,11,673.0,AL,4050055,146.865,23357
33,1990,1,59,2183.2903529968703,2223.0,40,28,3,0,57,0,7,0,26,15,22,8,2,0,67,2,0,0,0.0,0.0,71,0,71,26,2223.0,AL,4050055,146.865,23357
34,1990,1,61,1824.29035299687,1650.0,16,43,3,0,56,1,5,0,21,3,9,29,1,0,36,25,0,0,0.0,0.0,62,0,62,21,1650.0,AL,4050055,146.865,23357
35,1990,1,63,919.0,856.0,32,9,0,0,38,2,1,0,11,5,23,2,18,0,21,2,0,0,0.0,0.0,41,0,41,11,856.0,AL,4050055,146.865,23357
36,1990,1,65,1757.0,1836.0,51,19,2,0,64,5,2,0,26,6,30,10,23,0,42,7,0,0,0.0,0.0,72,0,72,26,1836.0,AL,4050055,146.865,23357
37,1990,1,67,1173.64517649844,1636.0,5,26,3,0,31,2,1,0,16,2,3,13,3,3,17,11,0,0,0.0,0.0,34,0,34,16,1636.0,AL,4050055,146.865,23357
38,1990,1,69,92266.3905946406,84132.0,1102,506,183,0,1287,227,256,2,1180,40,247,324,179,14,1333,265,0,0,0.0,0.0,1791,0,1791,1180,84132.0,AL,4050055,146.865,23357
39,1990,1,71,10886.5807059937,11907.0,146,156,41,0,322,8,13,0,194,35,78,36,1,1,329,12,0,0,0.0,0.0,343,0,343,194,11907.0,AL,4050055,146.865,23357
40,1990,1,73,680642.513937428,785362.0,7970,4346,559,0,8743,2687,1272,36,7400,313,2061,3105,2015,128,8159,2577,0,0,0.0,0.0,12879,0,12879,7400,785362.0,AL,4050055,146.865,23357
41,1990,1,75,708.0,568.0,19,6,0,0,25,0,0,0,9,2,9,5,2,0,18,5,0,0,0.0,0.0,25,0,25,9,568.0,AL,4050055,146.865,23357
42,1990,1,77,177436.64989101398,87226.0,1689,379,69,0,1051,417,209,10,1657,66,205,209,80,15,1920,122,0,0,0.0,0.0,2137,0,2137,1657,87226.0,AL,4050055,146.865,23357
43,1990,1,79,12392.4517649844,8809.0,346,46,8,0,231,92,30,2,254,10,106,30,22,1,364,13,1,1,140.0,140.0,400,0,399,253,8669.0,AL,4050055,146.865,23357
44,1990,1,81,24486.6461194015,17930.0,259,162,34,0,390,36,22,1,222,28,97,108,46,8,307,94,0,0,0.0,0.0,455,0,455,222,17930.0,AL,4050055,146.865,23357
45,1990,1,83,45482.22635394369,8372.0,159,73,4,0,203,6,13,0,102,28,55,51,8,4,164,60,0,0,0.0,0.0,236,0,236,102,8372.0,AL,4050055,146.865,23357
46,1990,1,85,985.6451764984371,980.0,23,13,4,0,35,1,3,0,19,3,11,7,17,1,14,8,0,0,0.0,0.0,40,0,40,19,980.0,AL,4050055,146.865,23357
47,1990,1,86,20.0,28.0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0.0,0.0,2,0,2,0,28.0,AL,4050055,146.865,23357
48,1990,1,87,10177.9355294953,1460.0,31,15,4,0,38,0,3,1,21,0,21,8,19,6,20,5,0,0,0.0,0.0,50,0,50,21,1460.0,AL,4050055,146.865,23357
49,1990,1,89,343698.171783922,442763.0,3468,2102,825,0,4774,772,456,18,4374,121,775,1125,521,185,4789,900,1,1,6.0,6.0,6395,0,6394,4373,442757.0,AL,4050055,146.865,23357
50,1990,1,91,1773.0,1524.0,66,9,2,0,73,2,1,0,23,8,35,11,27,1,36,13,0,0,0.0,0.0,77,0,77,23,1524.0,AL,4050055,146.865,23357
51,1990,1,93,1052.64517649844,1026.0,20,12,5,0,35,0,2,0,5,9,18,5,4,0,29,4,0,0,0.0,0.0,37,0,37,5,1026.0,AL,4050055,146.865,23357
52,1990,1,95,21959.8070599375,35022.0,434,199,17,0,587,17,40,5,260,78,231,81,6,4,586,54,1,1,124.0,124.0,650,0,649,259,34898.0,AL,4050055,146.865,23357
53,1990,1,97,305771.432494646,273754.0,3630,2118,477,0,4014,1622,525,19,4102,77,881,1165,909,145,4325,846,0,0,0.0,0.0,6225,0,6225,4102,273754.0,AL,4050055,146.865,23357
54,1990,1,99,7297.87105899062,9141.0,151,70,11,0,224,1,7,0,134,24,50,24,50,3,164,15,0,0,0.0,0.0,232,0,232,134,9141.0,AL,4050055,146.865,23357
55,1990,1,101,593456.0452001679,246193.912638312,2168,1444,604,0,2848,862,371,7,2433,51,550,1182,738,93,2331,1054,1,0,300.0,0.0,4216,0,4215,2433,245893.912638312,AL,4050055,146.865,23357
56,1990,1,103,96026.61600568131,98191.0,1494,548,132,0,1568,425,166,15,1529,51,298,296,107,32,1821,214,0,0,0.0,0.0,2174,0,2174,1529,98191.0,AL,4050055,146.865,23357
57,1990,1,105,5602.0,190.0,3,2,1,0,5,0,0,0,0,0,4,2,2,0,3,1,0,0,0.0,0.0,6,0,6,0,190.0,AL,4050055,146.865,23357
58,1990,1,107,1053.0,915.0,40,10,0,0,47,3,0,0,13,11,21,5,14,0,30,6,0,0,0.0,0.0,50,0,50,13,915.0,AL,4050055,146.865,23357
59,1990,1,108,50.0,68.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,1,0,1,1,68.0,AL,4050055,146.865,23357
