,year,state_code,applicant_income,loan_amount,conventional_loans,FHA_loans,VA_loans,FSA_RHS_loans,purchase,improvement,refinancing,multifamily,loans_originated,loans_approved_not_originated,loans_denied,other_loans,race_black,race_other,race_white,race_msrpd,subprime,subprime_originated,subprime_amount,subprime_amount_originated,total,elapsed_time,prime,prime_originated,prime_amount,state,population,sthpi,mh_income
22,1993,45,6813752.84867061,8392826.0,98922,12886,9006,27,52914,8073,59787,67,85674,5020,16454,13693,12886,2961,93432,11562,2283,1108,139208.0,78067.0,120841,3,118558,84566,8253618.0,SC,3663314,175.335,26053
23,1993,51,22557209.1860437,37281167.0,224788,61070,54627,70,115430,22012,202908,205,247250,4452,23115,65738,24991,21970,245512,48082,6442,4773,680625.0,531022.0,340555,3,334113,242477,36600542.0,VA,6509630,193.71,36433
24,1994,1,6447285.21068489,8254439.0,106783,16350,9619,306,81680,14282,36944,152,78661,5783,23816,24798,20221,2541,98913,11383,7527,3158,310388.0,142672.0,133058,4,125531,75503,7944051.0,AL,4260229,170.2625,27196
25,1994,13,14202560.8732077,21642827.0,186017,52971,20116,773,155627,24307,79755,188,144709,11757,36707,66704,42775,10218,166037,40847,22451,9629,1377291.0,761011.0,259877,4,237426,135080,20265536.0,GA,7157165,174.265,31467
26,1994,27,10053781.1477682,14210255.0,133374,38404,8635,355,82467,37026,60968,307,123160,5362,18540,33706,3006,6017,139017,32728,4586,1693,277837.0,118451.0,180768,4,176182,121467,13932418.0,MN,4610355,160.29749999999999,33644
27,1994,37,12445380.3815236,17281748.0,209327,27756,19169,482,156892,26121,73481,240,152488,17574,45263,41409,36376,9238,181922,29198,15081,3899,665782.0,188926.0,256734,4,241653,148589,16615966.0,NC,7187398,182.3475,30114
28,1994,45,5666837.10810299,7213375.0,100620,11192,7117,34,71187,11700,35975,101,67918,8655,24058,18332,19065,3999,82248,13651,7623,2292,274626.0,94664.0,118963,4,111340,65626,6938749.0,SC,3705397,179.79250000000002,29846
29,1994,51,16478960.8190446,27638078.0,180001,50023,40558,169,136374,31016,103170,191,166033,9266,27878,67574,31406,18010,174164,47171,10993,4062,895747.0,409063.0,270751,4,259758,161971,26742331.0,VA,6593139,195.03499999999997,37647
30,1995,1,6037314.75133023,7512897.0,108170,13948,6522,494,87911,13841,27286,96,74154,7008,27346,20626,20442,2501,93362,12829,5417,1803,206495.0,74611.0,129134,5,123717,72351,7306402.0,AL,4296800,177.1325,25991
31,1995,13,14385044.1386557,21698045.0,210444,40826,17334,687,179769,28544,60778,200,142435,15103,46804,64949,48602,11139,164747,44803,28886,10575,1551838.0,698286.0,269291,5,240405,131860,20146207.0,GA,7328413,180.715,34099
32,1995,27,9035107.21339046,12265103.0,129222,28659,6007,357,91265,33126,39592,262,107692,6609,19683,30261,3037,6135,123979,31094,7617,2050,410634.0,105643.0,164245,5,156628,105642,11854469.0,MN,4660180,167.935,37933
33,1995,37,13783228.5904918,19166973.0,247446,22455,18609,864,194729,24600,69724,321,158412,21076,68197,41689,44268,11694,193631,39781,28976,8367,1176500.0,347276.0,289374,5,260398,150045,17990473.0,NC,7344674,191.42499999999998,31979
34,1995,45,6721692.76812881,8375801.0,133207,8981,5646,102,100108,12191,35550,87,73441,12290,42045,20160,29284,4782,94943,18927,16012,3875,556173.0,139357.0,147936,5,131924,69566,7819628.0,SC,3748582,185.8625,29071
35,1995,51,13625877.8036539,22348792.0,167815,38781,26652,147,136507,35267,61432,189,137234,11807,33468,50886,31253,14476,143903,43763,13682,4016,952444.0,342515.0,233395,5,219713,133218,21396348.0,VA,6670693,197.43,36222
36,1996,1,8517211.20111609,10954802.0,154324,16307,7932,815,117747,15365,46103,163,97513,9806,42233,29826,26203,3222,126763,23190,4580,1938,230878.0,102227.0,179378,6,174798,95575,10723924.0,AL,4331102,184.32750000000001,30302
37,1996,13,22519475.2811566,33110401.0,337647,51590,22017,1059,246090,40798,125097,328,194521,25182,83810,108800,68768,16562,234943,92040,56056,16171,2902185.0,908807.0,412313,6,356257,178350,30208216.0,GA,7501069,189.02,32496
38,1996,27,13885304.2224634,18413829.0,202338,33866,7113,717,108651,39442,95571,370,150604,13185,37161,43084,3825,8813,173348,58048,20139,5212,1090312.0,293933.0,244034,6,223895,145392,17323517.0,MN,4712827,176.43,40991
39,1996,37,21198623.5775713,29322825.0,381795,30163,18892,1074,256052,37457,137977,438,212493,33901,114797,70733,64267,18467,270341,78849,61812,16129,2872047.0,723042.0,431924,6,370112,196364,26450778.0,NC,7500670,200.4025,35601
40,1996,45,11286383.0352715,14698818.0,224989,12681,6629,450,154730,19728,70142,149,105873,20052,78694,40130,50942,5856,143509,44442,34271,7627,1386751.0,326703.0,244749,6,210478,98246,13312067.0,SC,3796200,194.1325,34665
41,1996,51,19531698.9893773,31416740.0,245761,52694,31495,224,166260,46243,117371,300,179480,17782,53188,79724,40506,18702,196094,74872,29872,7488,1872667.0,480382.0,330174,6,300302,171992,29544073.0,VA,6750884,201.7225,39211
42,1997,1,10157331.4609434,12850456.0,186561,20772,7607,980,141433,22085,52220,182,106979,13701,61924,33316,34578,4866,143336,33140,6088,2253,340036.0,133274.0,215920,7,209832,104726,12510420.0,AL,4367935,191.17,31939
43,1997,13,27260702.022555,39897864.0,419402,56665,19372,1187,279035,51682,165471,438,216718,36355,121438,122115,85701,21274,259517,130134,94404,23630,5357701.0,1452992.0,496626,7,402222,193088,34540163.0,GA,7685099,197.5175,36663
44,1997,27,15581415.4815292,20564650.0,227879,28711,6360,841,110025,40751,112579,436,152662,17195,42760,51174,4555,10960,179769,68507,38437,10088,2324577.0,661625.0,263791,7,225354,142574,18240073.0,MN,4763390,185.01500000000001,42564
45,1997,37,27773479.886429,44394041.0,482918,32072,18670,1278,299165,44476,190798,499,236805,53792,152115,92226,83190,24885,307950,118913,113665,25529,12592361.0,2137066.0,534938,7,421273,211276,31801680.0,NC,7656825,210.01500000000001,35840
46,1997,45,15837504.8292245,27441778.0,281758,13321,6149,580,183321,21679,96622,186,112442,33489,106558,49319,67337,7251,162491,64729,58261,13069,11883397.0,1436461.0,301808,7,243547,99373,15558381.0,SC,3859696,202.6225,34262
47,1997,51,23216740.2089128,36099996.0,297002,54418,28875,342,192823,47904,139586,324,193447,22109,71246,93835,42931,21714,210509,105483,55916,11994,3339718.0,784610.0,380637,7,324721,181453,32760278.0,VA,6829183,205.7875,42957
48,1998,1,15592155.3929939,20844890.0,270150,22774,12140,879,168355,25190,112203,195,155044,16057,82139,52703,47037,5101,201051,52754,18753,5726,1075404.0,346522.0,305943,8,287190,149318,19769486.0,AL,4404701,200.985,36266
49,1998,13,43016522.4065378,69785461.0,629194,62830,32531,1702,337099,42234,346428,496,338739,48098,152158,187262,111483,30840,375473,208461,143595,30249,12190385.0,2187027.0,726257,8,582662,308490,57595076.0,GA,7863536,209.525,38665
50,1998,27,29331386.3741844,41803865.0,418179,36702,12409,1569,143898,48046,276333,582,272948,29531,64389,101991,7277,17879,316836,126867,77424,17693,5271327.0,1218532.0,468859,8,391435,255255,36532538.0,MN,4813412,195.97500000000002,47926
51,1998,37,42619558.7327512,65424088.0,722252,31920,29879,1635,357931,37602,389576,577,357219,81009,197850,149608,102321,34457,430290,218618,191690,40671,13201021.0,2443753.0,785686,8,593996,316548,52223067.0,NC,7809121,220.475,35838
52,1998,45,20964996.3232068,30127399.0,385634,11140,10669,847,202675,19621,185795,199,161872,40910,128950,76558,73986,10421,207219,116664,102152,20046,6439837.0,1138307.0,408290,8,306138,141826,23687562.0,SC,3919235,214.03250000000003,33267
53,1998,51,39528403.8821653,64025325.0,474714,70327,53174,553,233526,44537,320404,301,320802,32966,96414,148586,55335,35636,327555,180242,87477,18062,6632047.0,1293680.0,598768,8,511291,302740,57393278.0,VA,6900918,212.34750000000003,43354
54,1999,1,14934354.9813301,20515201.0,271325,22226,8637,948,170075,23363,109418,280,136970,20380,89110,56676,49820,6197,181728,65391,45449,11414,2744177.0,733191.0,303136,9,257687,125556,17771024.0,AL,4430141,206.16750000000002,36251
55,1999,13,41610223.4538204,65834052.0,596412,76080,22895,1870,346686,46564,303477,530,296372,52473,153744,194668,115989,30780,325479,225009,171039,35740,12353221.0,2837826.0,697257,9,526218,260632,53480831.0,GA,8045965,222.2975,39425
56,1999,27,24253861.8727017,35117373.0,347426,30409,6902,1452,150644,38683,196170,692,204171,27402,62807,91809,7413,16224,251168,111384,66642,14433,5222689.0,1216036.0,386189,9,319547,189738,29894684.0,MN,4873481,211.92,47038
57,1999,37,40949463.5728539,63116317.0,691304,36006,20591,1753,360823,39492,348738,601,309218,80304,201421,158711,100947,33796,378911,236000,200282,43725,13711273.0,3268984.0,749654,9,549372,265493,49405044.0,NC,7949361,228.8075,37254
58,1999,45,20249291.7134414,29577183.0,372066,11812,6993,935,192123,18601,180807,275,142454,41724,127595,80033,70348,9279,185190,126989,115070,22363,7089495.0,1444289.0,391806,9,276736,120091,22487688.0,SC,3974682,225.235,36462
