,year,state_code,applicant_income,loan_amount,conventional_loans,FHA_loans,VA_loans,FSA_RHS_loans,purchase,improvement,refinancing,multifamily,loans_originated,loans_approved_not_originated,loans_denied,other_loans,race_black,race_other,race_white,race_msrpd,subprime,subprime_originated,subprime_amount,subprime_amount_originated,total,elapsed_time,prime,prime_originated,prime_amount,state,population,sthpi,mh_income,did_NC,did_GA,did_MN,did_SC
0,1990,1,60.58632057439671,51.9456813158611,0.666033021109595,0.263601661786574,0.0702120157593782,4.5990403335837296e-05,0.69456240131226,0.179485214085328,0.0948782020818323,0.00275942420015024,0.618923517959253,0.0359031748708436,0.163971118026705,0.181202189143199,0.107464242461406,0.0151155125630452,0.729837040670847,0.147583204304702,9.19808066716745e-05,4.5990403335837296e-05,143.666666666667,90.0,65231,0,0.9999080191933283,0.6188775275559172,51.93724396956596,AL,4050055,146.865,23357,0,0,0,0
1,1990,13,83.59895333265821,82.6221694445995,0.601734033688192,0.315243953821522,0.0823853262548805,0.000102993361609693,0.704081346029606,0.125062030092788,0.144537138469893,0.00410100839864049,0.569721824293325,0.0127337247081075,0.114912502457796,0.302631948540771,0.117815042648615,0.0294467383874985,0.604599121747517,0.24813909721637,0.00206923026506746,0.0005149668080484629,89.4796380090498,99.4,106803,0,0.9979307697349326,0.5692068574852766,82.60795034050365,GA,6512602,160.07999999999998,27561,0,0,0,0
2,1990,27,97.1408449757483,70.4355597595849,0.535947778873626,0.331577716545841,0.0449004077233582,0.000416874256489512,0.608839767770536,0.225823835039806,0.1217781212189,0.00422974855364968,0.616638366666328,0.0158107187522242,0.084625474067371,0.282925440514077,0.0117029821760836,0.0260393895334059,0.723683541601001,0.23857408668951,0.00017285030147126101,3.0502994377281396e-05,83.2352941176471,45.0,98351,0,0.9998271496985287,0.6166078636719508,70.43334693915574,MN,4389857,139.6175,31465,0,0,0,0
3,1990,37,82.2514991481554,64.7887818335329,0.707265481021507,0.232517180960681,0.0599903768463291,0.00014525514974898101,0.633657433886211,0.113090212526441,0.131846283737778,0.00444843896106254,0.684732775916696,0.021143702735336,0.118582672876324,0.175540848471643,0.099354522428303,0.0281976559450209,0.713611315376165,0.158836506250511,0.000680883514448348,9.98629154524244e-05,78.0,136.636363636364,110151,0,0.9993191164855516,0.6846329130012436,64.77978040395254,NC,6664016,161.965,26329,0,0,0,0
4,1990,45,60.8715211865396,62.329775265621,0.671941119027813,0.245216825201635,0.0827154689138848,1.80838366667872e-05,0.66452674599443,0.139137039314261,0.0958262504973055,0.00264024015335094,0.616333321277442,0.0185901840934573,0.130890809794206,0.234185684834895,0.0943614597272958,0.023201562443488,0.713479691851423,0.168957285977793,0.00047017975333646795,0.000180838366667872,140.076923076923,174.2,55298,0,0.9995298202466635,0.6161524829107742,62.293202935271204,SC,3501155,160.9825,28735,0,0,0,0
5,1990,51,78.64021281073249,101.04093395908801,0.659708906796951,0.217419191953654,0.122394251830421,2.7294252512777103e-05,0.657204659128904,0.172567911512033,0.143615533159105,0.00494708326794085,0.586369250295119,0.007976745296859109,0.0902552694966258,0.315398734911396,0.0697299916070174,0.0533261458468383,0.587283607754297,0.289660254791847,0.00828380563762786,0.0025724832993292398,56.3962108731466,24.122015915119402,1465510,0,0.9917161943623721,0.5837967669957898,10.06571411288312,VA,6216884,188.33749999999998,35073,0,0,0,0
6,1991,1,49.614882535661,55.736111308500206,0.687335673578443,0.208518681693504,0.104117220698378,2.8424029674686998e-05,0.605218651848273,0.184741980870628,0.208007049159359,0.00201810610690278,0.629506985205293,0.0218580788198343,0.149211943777269,0.199422992197604,0.101502209968307,0.0155621562468911,0.726134474084391,0.156801159700411,0.00451942071827523,0.00123644529084888,38.4088050314465,49.816091954023,70363,1,0.9954805792817247,0.6282705399144441,55.81477621529017,AL,4099156,151.53,24346,0,0,0,0
7,1991,13,59.1375597494301,84.8098245787175,0.643153799972038,0.273231189295436,0.0833847343185874,0.000230276413938302,0.618086567483326,0.109200365152599,0.27126561561932,0.00144745174475504,0.59070834669759,0.0187099586324871,0.113090391716628,0.277491302953295,0.121882016234487,0.038464385285337105,0.637882114924379,0.201771483555797,0.00896433182831249,0.00509075357956461,79.948623853211,89.2504038772213,121593,1,0.9910356681716875,0.5856175931180254,84.85379617104968,GA,6653005,161.685,27212,0,0,0,0
8,1991,27,68.0368137996406,73.9900165671487,0.667388603182273,0.289252062264867,0.0432557898733303,0.000103544679529217,0.503813895695993,0.185776412522003,0.309331101370241,0.00107859041176268,0.645514789631726,0.0157991923514997,0.0896438063024195,0.249042211714355,0.009923031788216621,0.0236081869326614,0.757274013736928,0.209194767542194,0.0019414627411728199,0.000845614882821938,52.328888888888905,55.979591836734706,115892,1,0.9980585372588272,0.6446691747489041,74.03215264509325,MN,4440859,143.59249999999997,29479,0,0,0,0
9,1991,37,51.88727312574,68.8881006953887,0.800442873237248,0.138292995610116,0.0607824093858047,0.000481721766831125,0.61957965890991,0.106864535177344,0.272266034730585,0.0012897711821607599,0.642259430480556,0.0401460704712327,0.161796356007925,0.155798143040286,0.10687230488326,0.0271784312963754,0.76007925100035,0.105870012820015,0.00142185618274348,0.00095567382774562,108.338797814208,118.008130081301,128705,1,0.9985781438172565,0.6413037566528104,68.83192760772475,NC,6784280,165.375,26853,0,0,0,0
