,year,state,race,sex,age,population
20553,1989,DC,2,1,4,25622
20554,1989,DC,2,1,5,19100
20555,1989,DC,2,2,1,59008
20556,1989,DC,2,2,2,62109
20557,1989,DC,2,2,3,45801
20558,1989,DC,2,2,4,33170
20559,1989,DC,2,2,5,33065
20560,1989,DE,1,1,1,72029
20561,1989,DE,1,1,2,69802
20562,1989,DE,1,1,3,53965
20563,1989,DE,1,1,4,37162
20564,1989,DE,1,1,5,28281
20565,1989,DE,1,2,1,69202
20566,1989,DE,1,2,2,69564
20567,1989,DE,1,2,3,54776
20568,1989,DE,1,2,4,40041
20569,1989,DE,1,2,5,41473
20570,1989,DE,2,1,1,21726
20571,1989,DE,2,1,2,16050
20572,1989,DE,2,1,3,10520
20573,1989,DE,2,1,4,5903
20574,1989,DE,2,1,5,3618
20575,1989,DE,2,2,1,21556
20576,1989,DE,2,2,2,17862
20577,1989,DE,2,2,3,12527
20578,1989,DE,2,2,4,6862
20579,1989,DE,2,2,5,5360
20580,1989,FL,1,1,1,1251445
20581,1989,FL,1,1,2,1246370
20582,1989,FL,1,1,3,1014264
20583,1989,FL,1,1,4,762767
20584,1989,FL,1,1,5,926690
20585,1989,FL,1,2,1,1182445
20586,1989,FL,1,2,2,1200883
20587,1989,FL,1,2,3,1030936
20588,1989,FL,1,2,4,874183
20589,1989,FL,1,2,5,1238705
20590,1989,FL,2,1,1,364829
20591,1989,FL,2,1,2,242224
20592,1989,FL,2,1,3,162417
20593,1989,FL,2,1,4,87918
20594,1989,FL,2,1,5,53256
20595,1989,FL,2,2,1,357156
20596,1989,FL,2,2,2,267825
20597,1989,FL,2,2,3,187149
20598,1989,FL,2,2,4,105453
20599,1989,FL,2,2,5,80782
20600,1989,GA,1,1,1,655917
20601,1989,GA,1,1,2,604056
20602,1989,GA,1,1,3,503744
20603,1989,GA,1,1,4,299655
20604,1989,GA,1,1,5,196245
20605,1989,GA,1,2,1,615900
20606,1989,GA,1,2,2,582572
20607,1989,GA,1,2,3,506349
20608,1989,GA,1,2,4,319491
20609,1989,GA,1,2,5,309951
20610,1989,GA,2,1,1,339752
20611,1989,GA,2,1,2,236817
20612,1989,GA,2,1,3,153804
20613,1989,GA,2,1,4,71517
20614,1989,GA,2,1,5,49008
20615,1989,GA,2,2,1,333677
20616,1989,GA,2,2,2,270242
20617,1989,GA,2,2,3,183224
20618,1989,GA,2,2,4,93597
20619,1989,GA,2,2,5,85603
20620,1989,HI,1,1,1,37163
20621,1989,HI,1,1,2,52102
20622,1989,HI,1,1,3,41310
20623,1989,HI,1,1,4,17695
20624,1989,HI,1,1,5,12480
20625,1989,HI,1,2,1,32985
20626,1989,HI,1,2,2,40792
20627,1989,HI,1,2,3,34886
20628,1989,HI,1,2,4,16421
20629,1989,HI,1,2,5,13519
20630,1989,HI,2,1,1,124494
20631,1989,HI,2,1,2,103556
20632,1989,HI,2,1,3,75582
20633,1989,HI,2,1,4,48468
20634,1989,HI,2,1,5,44769
20635,1989,HI,2,2,1,118064
20636,1989,HI,2,2,2,96151
20637,1989,HI,2,2,3,77993
20638,1989,HI,2,2,4,56945
