,year,state,race,sex,age,state_fips,population
20534,1989,CT,2,1,5,693,7166
20535,1989,CT,2,2,1,720,57842
20536,1989,CT,2,2,2,432,51143
20537,1989,CT,2,2,3,432,34723
20538,1989,CT,2,2,4,432,18287
20539,1989,CT,2,2,5,693,11306
20540,1989,DC,1,1,1,55,15096
20541,1989,DC,1,1,2,33,36252
20542,1989,DC,1,1,3,33,23738
20543,1989,DC,1,1,4,33,11278
20544,1989,DC,1,1,5,55,9116
20545,1989,DC,1,2,1,55,14992
20546,1989,DC,1,2,2,33,36124
20547,1989,DC,1,2,3,33,22236
20548,1989,DC,1,2,4,33,10889
20549,1989,DC,1,2,5,55,15805
20550,1989,DC,2,1,1,110,58911
20551,1989,DC,2,1,2,66,53429
20552,1989,DC,2,1,3,66,38419
20553,1989,DC,2,1,4,66,25622
20554,1989,DC,2,1,5,110,19100
20555,1989,DC,2,2,1,110,59008
20556,1989,DC,2,2,2,66,62109
20557,1989,DC,2,2,3,66,45801
20558,1989,DC,2,2,4,66,33170
20559,1989,DC,2,2,5,110,33065
20560,1989,DE,1,1,1,150,72029
20561,1989,DE,1,1,2,90,69802
20562,1989,DE,1,1,3,90,53965
20563,1989,DE,1,1,4,90,37162
20564,1989,DE,1,1,5,150,28281
20565,1989,DE,1,2,1,150,69202
20566,1989,DE,1,2,2,90,69564
20567,1989,DE,1,2,3,90,54776
20568,1989,DE,1,2,4,90,40041
20569,1989,DE,1,2,5,150,41473
20570,1989,DE,2,1,1,300,21726
20571,1989,DE,2,1,2,180,16050
20572,1989,DE,2,1,3,180,10520
20573,1989,DE,2,1,4,180,5903
20574,1989,DE,2,1,5,300,3618
20575,1989,DE,2,2,1,300,21556
20576,1989,DE,2,2,2,180,17862
20577,1989,DE,2,2,3,180,12527
20578,1989,DE,2,2,4,180,6862
20579,1989,DE,2,2,5,300,5360
20580,1989,FL,1,1,1,4020,1251445
20581,1989,FL,1,1,2,2412,1246370
20582,1989,FL,1,1,3,2412,1014264
20583,1989,FL,1,1,4,2412,762767
20584,1989,FL,1,1,5,4020,926690
20585,1989,FL,1,2,1,4020,1182445
20586,1989,FL,1,2,2,2412,1200883
20587,1989,FL,1,2,3,2412,1030936
20588,1989,FL,1,2,4,2412,874183
20589,1989,FL,1,2,5,4020,1238705
20590,1989,FL,2,1,1,7788,364829
20591,1989,FL,2,1,2,4764,242224
20592,1989,FL,2,1,3,4740,162417
20593,1989,FL,2,1,4,4704,87918
20594,1989,FL,2,1,5,6972,53256
20595,1989,FL,2,2,1,7872,357156
20596,1989,FL,2,2,2,4740,267825
20597,1989,FL,2,2,3,4788,187149
20598,1989,FL,2,2,4,4692,105453
20599,1989,FL,2,2,5,7176,80782
20600,1989,GA,1,1,1,10335,655917
20601,1989,GA,1,1,2,6201,604056
20602,1989,GA,1,1,3,6201,503744
20603,1989,GA,1,1,4,6201,299655
20604,1989,GA,1,1,5,10335,196245
20605,1989,GA,1,2,1,10335,615900
20606,1989,GA,1,2,2,6201,582572
20607,1989,GA,1,2,3,6201,506349
20608,1989,GA,1,2,4,6201,319491
20609,1989,GA,1,2,5,10335,309951
20610,1989,GA,2,1,1,17550,339752
20611,1989,GA,2,1,2,10985,236817
20612,1989,GA,2,1,3,10868,153804
20613,1989,GA,2,1,4,9854,71517
20614,1989,GA,2,1,5,12974,49008
20615,1989,GA,2,2,1,17251,333677
20616,1989,GA,2,2,2,11037,270242
20617,1989,GA,2,2,3,11193,183224
20618,1989,GA,2,2,4,10270,93597
20619,1989,GA,2,2,5,13819,85603
20620,1989,HI,1,1,1,75,37163
20621,1989,HI,1,1,2,45,52102
20622,1989,HI,1,1,3,45,41310
20623,1989,HI,1,1,4,45,17695
20624,1989,HI,1,1,5,75,12480
20625,1989,HI,1,2,1,75,32985
20626,1989,HI,1,2,2,45,40792
20627,1989,HI,1,2,3,45,34886
20628,1989,HI,1,2,4,45,16421
20629,1989,HI,1,2,5,75,13519
20630,1989,HI,2,1,1,150,124494
20631,1989,HI,2,1,2,90,103556
20632,1989,HI,2,1,3,90,75582
20633,1989,HI,2,1,4,90,48468
20634,1989,HI,2,1,5,150,44769
20635,1989,HI,2,2,1,150,118064
20636,1989,HI,2,2,2,90,96151
20637,1989,HI,2,2,3,90,77993
20638,1989,HI,2,2,4,90,56945
20639,1989,HI,2,2,5,150,49212
20640,1989,IA,1,1,1,9405,395737
20641,1989,IA,1,1,2,5643,304613
20642,1989,IA,1,1,3,5643,256294
20643,1989,IA,1,1,4,5643,178652
20644,1989,IA,1,1,5,9405,166136
20645,1989,IA,1,2,1,9405,378166
20646,1989,IA,1,2,2,5643,306258
20647,1989,IA,1,2,3,5643,257965
20648,1989,IA,1,2,4,5643,193662
20649,1989,IA,1,2,5,9405,253585
20650,1989,IA,2,1,1,12692,16674
20651,1989,IA,2,1,2,7543,12324
20652,1989,IA,2,1,3,6859,6174
20653,1989,IA,2,1,4,4978,3058
20654,1989,IA,2,1,5,5092,1681
20655,1989,IA,2,2,1,12483,15984
20656,1989,IA,2,2,2,7638,11368
20657,1989,IA,2,2,3,6498,6470
20658,1989,IA,2,2,4,5092,3375
20659,1989,IA,2,2,5,5415,2405
20660,1989,ID,1,1,1,3520,167794
20661,1989,ID,1,1,2,2112,107065
20662,1989,ID,1,1,3,2112,96724
20663,1989,ID,1,1,4,2112,58181
20664,1989,ID,1,1,5,3520,51283
20665,1989,ID,1,2,1,3520,159975
20666,1989,ID,1,2,2,2112,104812
20667,1989,ID,1,2,3,2112,94867
20668,1989,ID,1,2,4,2112,59981
20669,1989,ID,1,2,5,3504,66386
20670,1989,ID,2,1,1,4720,5557
20671,1989,ID,2,1,2,2704,4137
20672,1989,ID,2,1,3,2784,2462
20673,1989,ID,2,1,4,2240,1055
20674,1989,ID,2,1,5,2496,690
20675,1989,ID,2,2,1,4688,5393
20676,1989,ID,2,2,2,2704,3563
20677,1989,ID,2,2,3,2480,2504
20678,1989,ID,2,2,4,2176,1235
20679,1989,ID,2,2,5,2544,732
20680,1989,IL,1,1,1,8670,1337760
20681,1989,IL,1,1,2,5202,1193503
20682,1989,IL,1,1,3,5202,943568
20683,1989,IL,1,1,4,5202,621467
20684,1989,IL,1,1,5,8670,498224
20685,1989,IL,1,2,1,8670,1261047
20686,1989,IL,1,2,2,5202,1159124
20687,1989,IL,1,2,3,5202,948962
20688,1989,IL,1,2,4,5202,666723
20689,1989,IL,1,2,5,8670,773996
20690,1989,IL,2,1,1,13634,370490
20691,1989,IL,2,1,2,8466,248648
20692,1989,IL,2,1,3,8398,171289
20693,1989,IL,2,1,4,7582,98819
