,as_of_year,state_code,applicant_income,loan_amount,conventional_loans,FHA_loans,VA_loans,FSA_RHS_loans,purchase,improvement,refinancing,multifamily,loans_originated,loans_approved_not_originated,loans_denied,other_loans,race_black,race_other,race_white,race_msrpd,subprime,subprime_originated,subprime_amount,subprime_amount_originated,total,did
5,1995,51,13625877.803653926,22348792.0,167815,38781,26652,147,136507,35267,61432,189,137234,11807,33468,50886,31253,14476,187666,0,13682,4016,952444.0,342515.0,233395,0
0,1996,01,8517211.201116089,10954802.0,154324,16307,7932,815,117747,15365,46103,163,97513,9806,42233,29826,26203,3222,149953,0,4580,1938,230878.0,102227.0,179378,0
1,1996,13,22519475.28115659,33110401.0,337647,51590,22017,1059,246090,40798,125097,328,194521,25182,83810,108800,68768,16562,326983,0,56056,16171,2902185.0,908807.0,412313,0
2,1996,27,13885304.222463429,18413829.0,202338,33866,7113,717,108651,39442,95571,370,150604,13185,37161,43084,3825,8813,231396,0,20139,5212,1090312.0,293933.0,244034,0
3,1996,37,21198623.577571336,29322825.0,381795,30163,18892,1074,256052,37457,137977,438,212493,33901,114797,70733,64267,18467,349190,0,61812,16129,2872047.0,723042.0,431924,0
4,1996,45,11286383.035271497,14698818.0,224989,12681,6629,450,154730,19728,70142,149,105873,20052,78694,40130,50942,5856,187951,0,34271,7627,1386751.0,326703.0,244749,0
5,1996,51,19531698.989377312,31416740.0,245761,52694,31495,224,166260,46243,117371,300,179480,17782,53188,79724,40506,18702,270966,0,29872,7488,1872667.0,480382.0,330174,0
0,1997,01,10157331.460943405,12850456.0,186561,20772,7607,980,141433,22085,52220,182,106979,13701,61924,33316,34578,4866,176476,0,6088,2253,340036.0,133274.0,215920,0
1,1997,13,27260702.022555042,39897864.0,419402,56665,19372,1187,279035,51682,165471,438,216718,36355,121438,122115,85701,21274,389651,0,94404,23630,5357701.0,1452992.0,496626,0
2,1997,27,15581415.481529217,20564650.0,227879,28711,6360,841,110025,40751,112579,436,152662,17195,42760,51174,4555,10960,248276,0,38437,10088,2324577.0,661625.0,263791,0
3,1997,37,27773479.886429023,44394041.0,482918,32072,18670,1278,299165,44476,190798,499,236805,53792,152115,92226,83190,24885,426863,0,113665,25529,12592361.0,2137066.0,534938,0
4,1997,45,15837504.829224505,27441778.0,281758,13321,6149,580,183321,21679,96622,186,112442,33489,106558,49319,67337,7251,227220,0,58261,13069,11883397.0,1436461.0,301808,0
5,1997,51,23216740.208912835,36099996.0,297002,54418,28875,342,192823,47904,139586,324,193447,22109,71246,93835,42931,21714,315992,0,55916,11994,3339718.0,784610.0,380637,0
0,1998,01,15592155.392993903,20844890.0,270150,22774,12140,879,168355,25190,112203,195,155044,16057,82139,52703,47037,5101,253805,0,18753,5726,1075404.0,346522.0,305943,0
1,1998,13,43016522.40653778,69785461.0,629194,62830,32531,1702,337099,42234,346428,496,338739,48098,152158,187262,111483,30840,583934,0,143595,30249,12190385.0,2187027.0,726257,0
2,1998,27,29331386.374184363,41803865.0,418179,36702,12409,1569,143898,48046,276333,582,272948,29531,64389,101991,7277,17879,443703,0,77424,17693,5271327.0,1218532.0,468859,0
3,1998,37,42619558.732751235,65424088.0,722252,31920,29879,1635,357931,37602,389576,577,357219,81009,197850,149608,102321,34457,648908,0,191690,40671,13201021.0,2443753.0,785686,0
4,1998,45,20964996.32320683,30127399.0,385634,11140,10669,847,202675,19621,185795,199,161872,40910,128950,76558,73986,10421,323883,0,102152,20046,6439837.0,1138307.0,408290,0
5,1998,51,39528403.88216531,64025325.0,474714,70327,53174,553,233526,44537,320404,301,320802,32966,96414,148586,55335,35636,507797,0,87477,18062,6632047.0,1293680.0,598768,0
0,1999,01,14934354.981330058,20515201.0,271325,22226,8637,948,170075,23363,109418,280,136970,20380,89110,56676,49820,6197,247119,0,45449,11414,2744177.0,733191.0,303136,0
1,1999,13,41610223.45382044,65834052.0,596412,76080,22895,1870,346686,46564,303477,530,296372,52473,153744,194668,115989,30780,550488,0,171039,35740,12353221.0,2837826.0,697257,0
2,1999,27,24253861.87270168,35117373.0,347426,30409,6902,1452,150644,38683,196170,692,204171,27402,62807,91809,7413,16224,362552,0,66642,14433,5222689.0,1216036.0,386189,0
3,1999,37,40949463.57285386,63116317.0,691304,36006,20591,1753,360823,39492,348738,601,309218,80304,201421,158711,100947,33796,614911,0,200282,43725,13711273.0,3268984.0,749654,1
4,1999,45,20249291.713441387,29577183.0,372066,11812,6993,935,192123,18601,180807,275,142454,41724,127595,80033,70348,9279,312179,0,115070,22363,7089495.0,1444289.0,391806,0
5,1999,51,36305317.78904608,57524782.0,449783,66448,35079,808,253279,51459,247000,380,269319,36632,96970,149197,53134,32884,466100,0,104443,24067,7202481.0,1712784.0,552118,0
0,2000,01,13240627.643232908,17668043.0,236631,22526,5234,656,157156,21307,86372,211,112393,19120,78828,54706,39755,5196,220096,0,53457,12097,3147889.0,692390.0,265047,0
1,2000,13,38421252.55224445,58948512.0,525906,69962,14138,923,336561,49032,224995,334,248664,45895,148615,167755,99064,28311,483554,0,165512,32964,11896676.0,2600464.0,610929,0
2,2000,27,21966162.569602337,30986568.0,307486,23405,3826,1168,147417,42119,145777,570,172838,23760,61055,78232,7842,14821,313222,0,74011,14268,5870026.0,1247627.0,335885,0
3,2000,37,32454224.348490875,49558451.0,521477,46467,12406,1121,325847,37658,217566,379,235025,59059,170569,116818,74640,28912,477919,0,148952,34834,10116983.0,2577780.0,581471,1
4,2000,45,17016510.538600374,24676651.0,296855,16211,4186,621,167417,18391,131891,166,111931,30320,110891,64731,49701,7053,261119,0,100001,17655,6190446.0,1282828.0,317873,0
5,2000,51,32037649.935792796,48024237.0,386809,59705,21029,707,262146,52294,153568,239,216654,33233,101374,116989,45095,31429,391726,0,107449,20704,6731999.0,1472895.0,468250,0
0,2001,01,19916898.853511035,27908665.060348365,297694,23714,7335,707,131421,19356,178346,327,158259,19975,79079,72137,36035,5742,287673,0,61041,11730,4154903.0,798486.0,329450,0
1,2001,13,63866917.303226925,101451823.0,728565,98161,22703,840,323413,46042,480321,493,409956,46601,163235,230477,112413,41765,696091,0,178552,32986,15261030.0,3174229.0,850269,0
2,2001,27,41211404.94640157,67562546.0,529804,28745,5467,1087,151170,37647,375539,747,322931,28092,74905,139175,9015,22794,533294,0,92026,17122,9328737.0,1888821.0,565103,0
3,2001,37,49692585.990507334,79533893.0,664794,49011,21501,878,293321,34995,407378,490,364069,54582,153231,164302,68149,30076,637959,0,138446,31725,10517491.0,2380279.0,736184,1
4,2001,45,24554045.646897085,37798517.0,354882,12984,6581,693,144965,15973,214020,182,166314,25537,96534,86755,38245,8628,328267,0,92093,15949,6465151.0,1189128.0,375140,0
5,2001,51,59040813.861792974,97640251.0,623588,79522,37333,551,278291,46415,415922,366,388259,41667,110666,200402,53789,53432,633773,0,131752,24209,10978693.0,2225793.0,740994,0
0,2002,01,22947537.771467313,33416465.0,311341,24599,10262,656,114366,17391,214807,294,166953,23639,64655,91611,36764,8338,301756,0,73722,12751,5558372.0,976687.0,346858,0
1,2002,13,75117381.46969976,117297056.0,780004,89119,25129,714,297644,37143,559697,482,442140,54669,135212,262945,122652,53741,718573,0,177070,38124,17853005.0,4181697.0,894966,0
2,2002,27,52362643.56368458,88779604.0,610955,25528,6151,1099,158008,29039,455840,846,370220,39849,69028,164636,10666,29733,603334,0,110660,23840,13285304.0,3020880.0,643733,0
3,2002,37,62008212.89223486,94700061.0,710812,52578,24867,857,268364,28581,491748,421,399967,56783,137894,194470,69460,36516,683138,0,149481,33191,12801341.0,2891249.0,789114,1
4,2002,45,28366263.22983166,42665464.0,351346,13661,8399,521,125879,11922,235930,196,181113,25929,74991,91894,37126,10899,325902,0,84458,15049,7160127.0,1339694.0,373927,0
5,2002,51,79665805.40489127,134583155.0,777708,72279,38713,726,288240,37581,563151,454,482498,51913,112009,243006,61674,77498,750254,0,149329,30840,15493213.0,3557453.0,889426,0
0,2003,01,32039336.95843428,47926926.0,408076,31357,15970,1193,132428,18234,305635,299,217827,29265,82807,126697,60293,12410,383893,0,97580,20071,8726066.0,1816627.0,456596,0
1,2003,13,92335323.99282563,158586903.0,982280,109437,39579,1965,349327,32973,750465,496,592158,58087,147148,335868,185425,80697,867139,0,173083,52022,20391570.0,6584190.0,1133261,0
2,2003,27,66033148.511051625,126197002.0,808101,27180,7546,1467,179371,30022,633897,1004,476059,43316,93083,231836,15488,45268,783538,0,137917,36323,19066557.0,5362393.0,844294,0
3,2003,37,80049863.84635574,129619016.0,894291,68024,45948,1282,293515,26523,689039,468,530341,59515,156865,262824,102983,53816,852746,0,177542,44543,17636315.0,4521041.0,1009545,1
4,2003,45,36646338.14342196,58679417.0,446424,17812,13604,894,150441,12716,315339,238,241042,29362,83724,124606,55676,19297,403761,0,91789,20394,8633098.0,1981784.0,478734,0
5,2003,51,109581336.75127047,204254280.0,1086317,84028,66050,1040,322956,40145,873888,446,672716,74608,127027,363084,108966,122477,1005992,0,170643,45433,21275012.0,6144034.0,1237435,0
0,2004,01,27125591.67252734,41228430.0,368886,23552,10524,1264,153726,26999,223501,0,162362,31081,86422,124361,68195,64584,271447,0,130580,26211,11752929.0,2391652.0,404226,0
1,2004,13,76666296.99801406,133708977.0,891839,75631,25552,707,412932,55149,525648,0,440263,60749,190653,302064,218010,187776,587943,0,300027,81697,35027135.0,9706895.0,993729,0
2,2004,27,44494747.34303188,90015550.0,555189,16155,3803,1142,198723,39018,338548,0,279676,35380,83173,178060,18288,103004,454997,0,150240,40405,22538459.0,6245232.0,576289,0
3,2004,37,59634799.98350975,99740519.0,723044,44448,27463,1179,334249,40266,421619,0,361733,48283,166511,219607,112433,148990,534711,0,219268,52752,22015281.0,5167682.0,796134,1
4,2004,45,29518899.786134105,47861756.0,366838,13919,9074,859,175342,21284,194064,0,171509,24502,82297,112382,60310,65694,264686,0,108312,25054,10469463.0,2389872.0,390690,0
5,2004,51,83951623.94952841,172392573.0,925318,41000,29428,1186,383357,64699,548876,0,481904,58089,148618,308321,127773,226825,642334,0,236010,66784,31178047.0,9707688.0,996932,0
0,2005,01,29848419.20840078,45644042.0,394247,19224,7482,1252,181402,34548,206255,0,166148,27569,93095,135393,77347,59830,285028,0,115082,25170,11004748.0,2329150.0,422205,0
1,2005,13,94224090.01189083,159463528.0,1077206,57708,18177,648,530418,66939,556382,0,480921,65119,227845,379854,278802,227060,647877,0,311337,84009,38478220.0,9694102.0,1153739,0
2,2005,27,50687099.53034172,98960131.0,598872,11034,2232,1182,237046,41006,335268,0,277635,36238,94933,204514,24525,105511,483284,0,152154,39791,23501116.0,5880763.0,613320,0
3,2005,37,69456668.64458022,115626707.0,826196,36385,21113,1008,405181,50293,429228,0,394927,55204,180240,254331,131569,162471,590662,0,203132,50617,22097807.0,5251350.0,884702,1
4,2005,45,36576711.94099371,60416459.0,426762,11240,7403,748,217420,26182,202551,0,191245,26233,91529,137146,68130,76439,301584,0,107833,26365,11577642.0,2740837.0,446153,0
5,2005,51,96017434.41177118,213999209.0,1034662,22361,15288,1144,424366,79509,569580,0,515562,62318,161169,334406,152659,235302,685494,0,208736,71181,33410432.0,12310403.0,1073455,0
0,2006,01,31451261.649983525,47098433.0,386148,17405,7228,935,183333,35301,193082,0,168942,24485,85356,132933,72890,59230,279596,0,85112,19917,8608390.0,1939490.0,411716,0
1,2006,13,100151852.1552325,163961738.0,1086106,48166,17046,563,558440,67543,525898,0,470723,71566,231919,377673,290138,215419,646324,0,245503,58061,32346199.0,7159647.0,1151881,0
2,2006,27,47233272.77400519,86089351.0,524676,10233,1868,1085,211728,40134,286000,0,231397,38340,90559,177566,23838,93474,420550,0,105978,23919,17020224.0,3618301.0,537862,0
3,2006,37,75426274.93423682,120546011.0,828630,32487,20254,1078,434958,50222,397269,0,396544,58064,172313,255528,128743,153149,600557,0,155655,39063,17906397.0,4294471.0,882449,1
4,2006,45,39502479.26275754,63671874.0,427341,10818,6990,463,224857,26237,194518,0,191359,28998,90317,134938,70149,71431,304032,0,90444,21035,10317393.0,2351720.0,445612,0
5,2006,51,94398077.89961474,200847056.0,963537,18389,14477,1068,381223,77758,538490,0,443474,60190,164270,329537,156420,216654,624397,0,186474,53197,32184763.0,9245502.0,997471,0
